snapshot_date,guide_id,title,unique_visitors,favorites
2026-09-12,3786858671,"Erdtree Keeper - a free, open-source save backup tool",67,4
2026-09-13,3698397193,Elden Ring Tracker 2.0 - Free Interactive Map & Save File Progress Tracker,1773,50
2026-09-13,3698405459,Elden Ring Tracker 2.0 - Интерактивная карта и трекер прогресса (загрузка .sl2),436,16
2026-09-13,3786823436,Erdtree Keeper - резервные копии сохранений без риска потерять прогресс,51,2
2026-09-13,3786858671,"Erdtree Keeper - a free, open-source save backup tool",71,4
2026-09-14,3698397193,Elden Ring Tracker 2.0 - Free Interactive Map & Save File Progress Tracker,1784,50
2026-09-14,3698405459,Elden Ring Tracker 2.0 - Интерактивная карта и трекер прогресса (загрузка .sl2),437,17
2026-09-14,3786823436,Erdtree Keeper - резервные копии сохранений без риска потерять прогресс,52,2
2026-09-14,3786858671,"Erdtree Keeper - a free, open-source save backup tool",72,4
2026-09-15,3698397193,Elden Ring Tracker 2.0 - Free Interactive Map & Save File Progress Tracker,1789,50
2026-09-15,3698405459,Elden Ring Tracker 2.0 - Интерактивная карта и трекер прогресса (загрузка .sl2),437,17
2026-09-15,3786823436,Erdtree Keeper - резервные копии сохранений без риска потерять прогресс,52,2
2026-09-15,3786858671,"Erdtree Keeper - a free, open-source save backup tool",74,4
2026-09-16,3698397193,Elden Ring Tracker 2.0 - Free Interactive Map & Save File Progress Tracker,1791,50
2026-09-16,3698405459,Elden Ring Tracker 2.0 - Интерактивная карта и трекер прогресса (загрузка .sl2),437,17
2026-09-16,3786823436,Erdtree Keeper - резервные копии сохранений без риска потерять прогресс,53,2
2026-09-16,3786858671,"Erdtree Keeper - a free, open-source save backup tool",74,4
2026-09-17,3698397193,Elden Ring Tracker 2.0 - Free Interactive Map & Save File Progress Tracker,1800,50
2026-09-17,3698405459,Elden Ring Tracker 2.0 - Интерактивная карта и трекер прогресса (загрузка .sl2),437,17
2026-09-17,3786823436,Erdtree Keeper - резервные копии сохранений без риска потерять прогресс,53,2
2026-09-17,3786858671,"Erdtree Keeper - a free, open-source save backup tool",75,4
